id;name;category;purchase_price;purchase_unit;usage_unit;conversion_factor;yield_percentage;current_price;status
1;Milk;dairy;5.2;case x 1 gal;fl oz;128.0;100;5.2;active
2;Almond Milk;dairy;31.11;case;fl oz;3838.9;100;31.11;active
3;Coconut Milk;dairy;31.5;case 12 x 32 oz;fl oz;383.9;100;31.5;active
4;Cream Cheese;dairy;38.45;case x 100 units;unit;100.0;100;38.45;active
5;Cheese Cheddar Sliced;dairy;41.65;case;unit;400.0;100;41.65;active
6;Cheese Mozzarella Sliced;dairy;45.54;case;unit;123.0;100;45.54;active
7;Crumbled Blue Cheese;dairy;37.75;case 2 x 5 lb;oz;160.0;100;37.75;active
8;Greek Yogurt;dairy;46.95;case 6 x 32 oz;fl oz;191.9;100;46.95;active
9;Vanilla Gelato;dairy;222.97;case 12 x 1 kg;oz;423.2;100;222.97;active
10;Chocolate Gelato;dairy;204.16;case;unit;144.0;100;204.16;active
11;Coconut Flakes;specialty;8.39;bag x 10 oz;oz;10.0;97;8.39;active
12;Cold Brew;coffee;485.0;case x 1 gal;fl oz;128.0;100;485.0;active
13;Brewed Coffee;coffee;7.93;case x 1.5 gal;fl oz;50.7;100;7.93;active
14;Nitro Cold Brew;coffee;36.0;case x 1 gal;fl oz;128.0;100;36.0;active
15;Chai Tea Concentrate;tea;6.75;bottle x 750 ml;fl oz;25.3;98;6.75;active
16;Tea Bag;tea;0.24;case x 3 gal;fl oz;384.0;100;0.24;active
17;Green Tea;tea;32.4;case 6 x 20 units;unit;120.0;98;32.4;active
18;Matcha;tea;377.5;case 4 x 1 kg;oz;141.0;98;377.5;active
19;Vanilla Syrup;syrups;39.99;bottle x 1 l;fl oz;33.8;98;39.99;active
20;Rose Syrup;syrups;6.74;bottle x 750 ml;fl oz;25.3;98;6.74;active
21;Coconut Syrup;syrups;6.75;bottle x 750 ml;fl oz;25.3;98;6.75;active
22;Hazelnut Syrup;syrups;6.75;bottle x 750 ml;fl oz;25.3;98;6.75;active
23;Dragon Fruit Syrup;syrups;6.75;bottle x 750 ml;fl oz;25.3;98;6.75;active
24;White Lotus;fruit_concentrate;29.71;bottle x 64 oz;fl oz;64.0;98;29.71;active
25;Strawberry Fruit Fusion;fruit_concentrate;19.0;bottle x 64 oz;fl oz;64.0;98;19.0;active
